词	词性
阁瑞斯	nbr
奇瑞	nbr
引擎	ncf
捷达	nbr
瑞风柴油车	nbr
宝马轿车	nbr
外壳	ncf
风行	nbr
发动机	ncf
花冠	nbr
宝来	nbr
广本	nbr
新雅阁	nbr
马自达	nbr
Lupo	nbr
普利司通	nbr
君威	nbr
富康	nbr
福美来	nbr
BMW	nbr
红旗	nbr
c2	nbr
爱丽舍	nbr
别克	nbr
奥迪	nbr
Lancer	nbr
海马3	nbr
乐骋	nbr
飞度	nbr
瑞风车	nbr
桑塔纳	nbr
SUV	nbr
卡迪拉克	nbr
底盘	ncf
赛拉图	nbr
逍客	nbr
骏捷	nbr
F3	nbr
板金	nbr
面包车	nbr
离合器	ncf
压盘	ncf
台湾版花冠	nbr
陆风	nbr
多功能车	nbr
高尔夫	nbr
一汽大众	nbr
CIF	nbr
04款新中华	nbr
KYF	nbr
ML	nbr
内饰	ncf
吉利	nbr
夏利	nbr
帕萨特	nbr
蒙迪欧	nbr
双B	nbr
迈腾	nbr
天津大发	nbr
华丽	nbr
松花江	nbr
长安	nbr
五菱	nbr
科鲁兹	nbr
福克斯	nbr
威驰	nbr
帕萨特	nbr
NOKIA	nbr
水果连连看	nbr
五子棋	nbr
IPAD	nbr
itouch	nbr
增益5DBI	nbr
普联	nbr
跳鼠王	nbr
诺基亚	nbr
电池	ncf
三星1082	nbr
屏幕	ncf
索尼E808	nbr
漫步者	nbr
森海px80	nbr
AKGk309	nbr
卡片机皇310HS	nbr
亚都	nbr
andriod	nbr
v880	nbr
联通3G	nbr
GPS	nbr
信噪比	ncf
耳机	ncf
显示屏	ncf
摄像头	ncf
像素	ncf
DT101	nbr
IBM笔记本	nbr
硕美科	nbr
ape	
txt	
耳柄	ncf
苹果	nbr
绿天鹅	nbr
米宝宝	nbr
iphone	nbr
安卓	nbr
雅兰仕AL-202	nbr
老富士小DC	nbr
卓越	nbr
MP3	nbr
MP4	nbr
飞利浦	nbr
PL-600	nbr
PL450	nbr
CM系列	nbr
信号	ncf
塞班	nbr
WM	nbr
耳塞	ncf
ACER4752G	nbr
FM	nbr
德森	nbr
收音机	ncf
ZTEV880	nbr
ME811	nbr
森海塞尔	nbr
SONY	nbr
笔记本	nbr
OPPO	nbr
美的	nbr
步步高	nbr
麦克风	ncf
松下	nbr
普通HDMI	nbr
mx370	nbr
tp单天线	nbr
amazon	nbr
d70	nbr
nikon	nbr
摩托	nbr
HTC	nbr
sandisk	ncf
X19	nbr
创新AurvanaAir	nbr
K420	nbr
newegg京	nbr
tp-link	nbr
读写速度	
联想4GU盘	nbr
C770	nbr
MX360	nbr
品胜	nbr
LEPHONE	nbr
雷柏	nbr
ROM	nbr
昂达	nbr
超霸	nbr
圣奇士南孚	nbr
中兴U830	nbr
